party_id,project_id,recipient_id,party,inventory_year,submission_year,btr_cycle,recipient,project_title,channel,currency,amount_mobilized_face_value,amount_mobilized_grant_equivalent,amount_resources_used_to_mobilize,public_intervention_type,type_of_support,sector,subsector,additional_information
1,3001,107,Germany,2021,2024,BTR 1,India,Green Energy Bond Issuance,Public Bond Market,EUR,500000000,450000000,5000000,Guarantees,Mitigation,Energy,Renewable energy grid,Public guarantee mobilized private investment.
2,3002,127,Japan,2022,2025,BTR 1,Brazil,Amazon Reforestation and Conservation Fund,Private Fund,JPY,15000000000,14000000000,2000000000,Equity,Cross-cutting,Forestry and Land Use,Reforestation programmes,Public equity investment leveraged private capital.
3,3003,102,Finland,2021,2024,BTR 1,Vietnam,Solar Power Plant Construction,Private Bank,EUR,80000000,75000000,10000000,Loan,Mitigation,Energy,Solar power generation,Concessional loan from a public entity mobilized a larger commercial loan.
4,3004,113,Sweden,2021,2024,BTR 1,South Africa,Green Hydrogen Production Facility,State-Owned Enterprise,SEK,250000000,220000000,30000000,Guarantees,Mitigation,Energy,Green hydrogen production,Public guarantee de-risked the project for private investors.
5,3005,201,Switzerland,2022,2025,BTR 1,Global,Global Climate Adaptation Fund,Private Fund,CHF,30000000,28000000,5000000,Grant,Adaptation,UA,UA,Public grant provided seed capital for a new private adaptation fund.
6,3006,106,France,2021,2024,BTR 1,Morocco,Sustainable Water Management,Commercial Bank,EUR,120000000,110000000,15000000,Loan,Adaptation,Water and Sanitation,Water-saving infrastructure,Public concessional loan helped finance a large infrastructure project.
1,3007,121,Germany,2022,2025,BTR 1,Indonesia,Geothermal Power Plant,Commercial Bank,EUR,200000000,180000000,25000000,Guarantees,Mitigation,Energy,Geothermal power plants,Guarantee from a public development bank.
2,3008,114,Japan,2021,2024,BTR 1,Thailand,Sustainable Waste-to-Energy Project,Private-Public Partnership,JPY,4000000000,3800000000,500000000,Equity,Mitigation,Waste Management,Solid waste conversion,Public equity share attracted a large consortium of private partners.
3,3009,109,Finland,2022,2025,BTR 1,Ethiopia,Climate-Smart Agriculture Program,Public-Private Partnership,EUR,15000000,14000000,2000000,Grant,Cross-cutting,Agriculture,Climate-resilient crops,Grant provided for technical assistance to facilitate private investment.
4,3010,110,Sweden,2022,2025,BTR 1,Kenya,Green Bond Fund,Private Fund,SEK,90000000,85000000,10000000,Guarantees,Mitigation,Energy,Renewable energy financing,Public guarantee on a green bond fund.
5,3011,111,Switzerland,2021,2024,BTR 1,Peru,Agroforestry Project in the Andes,Civil Society Organization,CHF,20000000,18000000,3000000,Loan,Adaptation,Forestry and Land Use,Sustainable land management,Concessional loan to a local NGO to mobilize additional grants.
6,3012,112,France,2022,2025,BTR 1,Senegal,Solar Mini-grid Development,Local Utility Company,EUR,35000000,30000000,5000000,Guarantees,Mitigation,Energy,Decentralized energy systems,Public guarantee reduced risk for a local utility's private financing.
