party_id,project_id,party,reporting_year,submission_year,btr_cycle,activity_title,activity_desc,support_channel,recipient_entity,implementing_entity,currency,amount_received,time_frame,fin_instrument,fund_status,support_type,sector,subsector,tech_transfer,capacity_building,activity_status,impact_summary,additional_info
201,6001,Uruguay,2022,2025,BTR 1,Large-Scale Solar Plant,Financial support for solar farm construction.,Bilateral,Ministry of Energy,Germany (via KfW),USD,"25,000,000",2025-2029,Loan,Received,Mitigation,Energy,Solar,Yes,Yes,Ongoing,Project is in the initial phase.,Null
204,6004,Pakistan,2022,2025,BTR 1,Flood Early Warning System,Funding for national flood warning infrastructure.,Multilateral,National Disaster Management Authority,World Bank,USD,"8,000,000",2026-2029,Loan,Received,Adaptation,Water,Flood Management,Yes,Yes,Ongoing,Enhancing national disaster preparedness.,Null
205,6005,Brazil,2022,2025,BTR 1,Amazon Forest Restoration,Financial support for a large reforestation programme.,Bilateral,Ministry of Environment,Norway (via its climate fund),EUR,"10,000,000",2025-2030,Grant,Received,Mitigation,Forestry,Reforestation,Yes,Yes,Ongoing,Initial tranche of a larger project.,Null
206,6006,Nigeria,2022,2025,BTR 1,Rural Solar Electrification,Support for off-grid solar solutions in rural areas.,Bilateral,Ministry of Power,Japan (via JICA),USD,"3,000,000",2024-2026,Grant,Received,Mitigation,Energy,Off-grid Solutions,Yes,Yes,Ongoing,Initial phase of pilot projects.,Null
207,6007,Colombia,2022,2025,BTR 1,Bogotá Electric Bus Fleet,Financial support for electric bus procurement.,Multilateral,Bogotá Transport Authority,Green Climate Fund,USD,"12,000,000",2024-2025,Loan,Committed,Mitigation,Transport,Public Transit,Yes,No,Planned,Supports urban decarbonization goals.,Null
208,6008,Vietnam,2022,2025,BTR 1,Coastal Mangrove Restoration,Grant for restoring coastal mangrove forests.,Bilateral,Ministry of Natural Resources,Finland,USD,"5,000,000",2025-2028,Grant,Received,Adaptation,Coastal,Mangrove Restoration,No,Yes,Ongoing,Enhancing coastal resilience.,Null
209,6009,Mexico,2022,2025,BTR 1,Municipal Waste-to-Energy Plant,Feasibility study for a new waste-to-energy plant.,Bilateral,Ministry of Environment,Sweden (via Sida),EUR,"800,000",2024-2025,Grant,Received,Mitigation,Waste,Waste-to-Energy,Yes,Yes,Ongoing,Supports waste management reform.,Null
211,6011,Peru,2022,2025,BTR 1,Andes Forest Management,Capacity building for sustainable forest management.,Bilateral,Ministry of Environment,Switzerland (via SDC),USD,"1,000,000",2025-2026,Grant,Received,Mitigation,Forestry,Forest Management,Yes,Yes,Ongoing,Supports community-based forest conservation.,Null
214,6014,Kenya,2022,2025,BTR 1,Geothermal Power Plant,Funding to expand an existing geothermal power plant.,Multilateral,Geothermal Power Company,African Development Bank,USD,"35,000,000",2025-2028,Loan,Committed,Mitigation,Energy,Geothermal,Yes,Yes,Planned,Supports energy sector decarbonization.,Null
216,6016,South Africa,2022,2025,BTR 1,Just Energy Transition Fund,Financial support for the Just Energy Transition Fund.,Bilateral,Ministry of Finance,France (via AFD),USD,"60,000,000",2025-2030,Loan,Received,Mitigation,Energy,Coal phase-out,Yes,Yes,Ongoing,Part of a major international financing package.,Null
217,6017,Bangladesh,2022,2025,BTR 1,Flood Protection Barriers,Financial support for construction of flood protection.,Bilateral,Ministry of Public Works,Denmark,EUR,"15,000,000",2025-2028,Grant,Committed,Adaptation,Water,Flood Resilience,No,Yes,Planned,To protect vulnerable communities.,Null
218,6018,Thailand,2022,2025,BTR 1,Offshore Wind Farm Feasibility,Feasibility study for a new offshore wind farm.,Multilateral,Ministry of Energy,Global Environment Facility,USD,"1,500,000",2024-2025,Grant,Received,Mitigation,Energy,Wind,Yes,Yes,Completed,Feasibility study results are now informing policy.,Null
