party_id,project_id,party,inventory_year,submission_year,btr_cycle,activity_title,activity_desc,tech_type,time_frame,recipient_entity,implementing_entity,support_type,sector,subsector,activity_status,impact_summary,additional_info
201,6101,Uruguay,2022,2025,BTR 1,Wind Power Technology,Received tech for wind turbine maintenance.,Advanced turbine tech,2025-2028,Ministry of Energy,Germany,Mitigation,Energy,Wind,Ongoing,Improved operational efficiency of wind farms.,Null
202,6102,Mauritius,2022,2025,BTR 1,Climate-Resilient Infrastructure,Received design tech for coastal protection.,Engineering tech,2024-2026,Ministry of Environment,Japan,Adaptation,Coastal,Coastal Management,Completed,New sea wall designs integrated.,Null
203,6103,Argentina,2022,2025,BTR 1,Soil Carbon Monitoring Tech,Received sensors and software for monitoring.,Monitoring tech,2025-2027,Ministry of Agriculture,France,Cross-cutting,Agriculture,Soil Health,Ongoing,Supports national agricultural inventory.,Null
204,6104,Pakistan,2022,2025,BTR 1,Flood Forecasting System,Received satellite and modeling tech.,Digital tech,2024-2026,National Disaster Agency,Germany,Adaptation,Water,Flood Early Warning,Ongoing,Improved accuracy of flood alerts.,Null
205,6105,Brazil,2022,2025,BTR 1,Deforestation Monitoring,Received AI and satellite imagery tech.,Digital tech,2025-2028,Ministry of Environment,Norway,Mitigation,Forestry,Forest Monitoring,Planned,Enhance enforcement of forest laws.,Null
206,6106,Nigeria,2022,2025,BTR 1,Solar Panel Production Tech,Received manufacturing tech for local production.,Manufacturing tech,2026-2030,Ministry of Industry,Japan,Mitigation,Energy,Solar,Planned,Will create jobs and reduce reliance on imports.,Null
207,6107,Colombia,2022,2025,BTR 1,Electric Bus Charging Tech,Received technology for charging infrastructure.,Infrastructure tech,2024-2026,Public Transport Authority,France,Mitigation,Transport,E-mobility,Ongoing,Supporting the rollout of electric buses.,Null
208,6108,Vietnam,2022,2025,BTR 1,Drone-Based Seeding Tech,Received drones and know-how for mangrove restoration.,Drone tech,2025-2027,Ministry of Natural Resources,Sweden,Adaptation,Coastal,Mangrove Restoration,Ongoing,Accelerating reforestation efforts.,Null
209,6109,Mexico,2022,2025,BTR 1,Waste Management Technology,Received tech for waste-to-energy plant.,Processing tech,2026-2029,Ministry of Environment,Switzerland,Mitigation,Waste,Waste-to-Energy,Planned,Supports the feasibility study.,Null
210,6110,Indonesia,2022,2025,BTR 1,Geothermal Exploration Tech,Received advanced drilling tech.,Exploration tech,2025-2028,Ministry of Energy,Japan,Mitigation,Energy,Geothermal,Planned,Aims to expand geothermal energy use.,Null
